Designator,Footprint,Mid X (mm),Mid Y (mm),Ref X (mm),Ref Y (mm),Pad X (mm),Pad Y (mm),Layer,Rotation,Comment
TEL1,RJ11-SLIM_14x12,5.00,115.00,5.00,115.00,5.00,115.00,TopLayer,90,TELEPHONE_LINE_PORT[cite: 8]
FAX1,RJ11-SLIM_14x12,5.00,125.00,5.00,125.00,5.00,125.00,TopLayer,90,FAX_PORT[cite: 8]
USB2_1,USB-A-SINGLE_8x12,5.00,135.00,5.00,135.00,5.00,135.00,TopLayer,90,LEGACY_USB2_PORT[cite: 8]
USB32_1,USB-C-3.2_8x8,5.00,150.00,5.00,150.00,5.00,150.00,TopLayer,90,USB_3_2_PORT_1[cite: 8]
USB32_2,USB-C-3.2_8x8,25.00,210.00,25.00,210.00,25.00,210.00,TopLayer,0,USB_3_2_PORT_2[cite: 8]
USB4_1,USB-C-40G_12x8,15.00,170.00,15.00,170.00,15.00,170.00,TopLayer,90,USB_4_PORT_1[cite: 8]
USB4_2,USB-C-40G_12x8,15.00,190.00,15.00,190.00,15.00,190.00,TopLayer,90,USB_4_PORT_2[cite: 8]
TB5_1,QFN-128_14x14,25.00,180.00,25.00,180.00,25.00,180.00,TopLayer,0,THUNDERBOLT5_CONTROLLER
USB1,TYPE-C-EPR-240W,5.00,170.00,5.00,170.00,5.00,170.00,TopLayer,90,PORT_USB_PD_1
USB2,TYPE-C-EPR-240W,5.00,190.00,5.00,190.00,5.00,190.00,TopLayer,90,PORT_USB_PD_2
DC1,BARREL-4PIN-12V10A,5.00,220.00,5.00,220.00,5.00,220.00,TopLayer,90,DC_JACK
BAT1,SOLID-STATE-480WH,180.00,70.00,180.00,70.00,180.00,70.00,TopLayer,0,SOLID_STATE_BATTERY
RTC1,COIN-VL2330,80.00,75.00,80.00,75.00,80.00,75.00,TopLayer,0,CMOS_BATTERY
VRM1,QFN-48_7x7,120.00,150.00,120.00,150.00,120.00,150.00,TopLayer,0,VRM_TI_TPS
Q1,POWERSO-8_6x5,110.00,145.00,110.00,145.00,110.00,145.00,TopLayer,0,MOSFET_INFINEON_OPTIMOS
PMIC1,QFN-56_8x8,100.00,150.00,100.00,150.00,100.00,150.00,TopLayer,0,PMIC_NXP
DCDC1,VICOR-PI3749_25x25,20.00,210.00,20.00,210.00,20.00,210.00,TopLayer,0,DC_DC_CONVERTER
TPM1,QFN-32_5x5,110.00,90.00,110.00,90.00,110.00,90.00,TopLayer,0,TPM_INFINEON
PLUTON1,QFN-48_6x6,100.00,90.00,100.00,90.00,100.00,90.00,TopLayer,0,PLUTON_SEC_CHIP
OT1,QFN-64_9x9,90.00,90.00,90.00,90.00,90.00,90.00,TopLayer,0,OPEN_TITAN_ROOT_OF_TRUST
SE1,QFN-48_6x6,80.00,90.00,80.00,90.00,80.00,90.00,TopLayer,0,SECURE_ENCLAVE_COPROCESSOR
SPI1,SOCKET-W25Q512_10x10,120.00,75.00,120.00,75.00,120.00,75.00,TopLayer,0,EEPROM_FLASH_DEBUG_SOCKET
FP1,SAPPHIRE-FP_8x8,325.00,20.00,325.00,20.00,325.00,20.00,TopLayer,0,FINGERPRINT_SENSOR
SW_PWR,PB-DP-LOCK_8x8,340.00,235.00,340.00,235.00,340.00,235.00,TopLayer,0,POWER_BUTTON_DEEP_PRESS
SW_AI,PB-AI-OMNI_8x8,295.00,235.00,295.00,235.00,295.00,235.00,TopLayer,0,PROGRAMMABLE_AI_HOTKEY
TS1,TTP229-CAP_40x10,175.00,235.00,175.00,235.00,175.00,235.00,TopLayer,0,CAP_TOUCH_SLIDER
SW_WLAN,TACT-KILL_8x8,25.00,235.00,25.00,235.00,25.00,235.00,TopLayer,0,WIFI_TOGGLE_BUTTON
SW_WWAN,TACT-KILL_8x8,35.00,235.00,35.00,235.00,35.00,235.00,TopLayer,0,CELLULAR_TOGGLE_BUTTON
SW_BT,TACT-KILL_8x8,45.00,235.00,45.00,235.00,45.00,235.00,TopLayer,0,BLUETOOTH_TOGGLE_BUTTON
SW_NFC,TACT-KILL_8x8,55.00,235.00,55.00,235.00,55.00,235.00,TopLayer,0,NFC_TOGGLE_BUTTON
JMP1,HARWIN-M50_4P_1.27MM,30.00,50.00,30.00,50.00,30.00,50.00,BottomLayer,0,HW_CONFIG_JUMPERS
TP_HAP,TP-HAPTIC_130x90,175.00,120.00,175.00,120.00,175.00,120.00,TopLayer,0,TRACKPAD_HAPTIC
TP_CTRL,QFN-32_SYNAPTICS,115.00,60.00,115.00,60.00,115.00,60.00,TopLayer,0,TRACKPAD_CONTROLLER
KB1,CHERRY-MX-LP_INDIC,175.00,175.00,175.00,175.00,175.00,175.00,TopLayer,0,KEYBOARD_BASE_STYLE
NUM1,NUMPAD-LP_10KEY,310.00,175.00,310.00,175.00,310.00,175.00,TopLayer,0,NUM_KEYPAD
IMU1,LGA-14_BMI270,75.00,60.00,75.00,60.00,75.00,60.00,TopLayer,0,IMU_SENSOR
ENV1,DFN-4_SHT40,65.00,60.00,65.00,60.00,65.00,60.00,TopLayer,0,ENVIRONMENTAL_SENSOR
HUB1,QFN-32_STM32G0,70.00,70.00,70.00,70.00,70.00,70.00,TopLayer,0,SENSOR_FUSION_CONTROLLER
